Company Name,Street Address,City,State,Zip
Glynn Academy,1001 Mansfield Street,Brunswick,GA,31520.0
Grace Christian Academy,,,,
Grayson High School,50 Hope Hollow Rd,Loganville,GA,
Greenbrier High School,5114 Riverwood Parkway,Evans,GA,30811.0
Greene County High School,1002 S. Main St.,Greensboro,GA,30642.0
Greenville High School,17656 Roosevelt Hwy,Greenville,GA,30222.0
Griffin High School,1617 W. Poplar Street,Griffin,GA,30224.0
Grovetown High School,2010 Warrior Way,Grovetown,GA,30813.0
Gwinnett Intervention Education Center West,5550 Peachtree Industrial Blvd.,Norcross,GA,30071.0
Habersham Ninth Grade Academy,171 Raider Circle,Mt. Airy,GA,30563.0
Hapeville Charter Career Academy,6045 Buffington Road,Atlanta,GA,30349.0
Haralson County High School,1655 Georgia Hwy 120,Tallapoosa,GA,31076.0
Hardaway High,2901 College Drive,Columbus,GA,31906.0
Harlem High School,1070 Appling Harlem Hwy,Harlem,GA,30814.0
Harris County,8281 GA-116,Hamilton,GA,31811.0
Hart County High School,59 5th Street,Hartwell,GA,30643.0
Heard High School,545 Main Street,Heard,GA,30217.0
Heritage High School ,2400 Granade Road,Conyers,GA,30094.0
Hills Academy,,,,
Houston County High School,920 Highway 96,Warner Robins,GA,31088.0
Independence High,791 Mimosa Blvd. ,Roswell,GA,30075.0
Innovation Academy,125 Milton Avenue,Alpharetta,GA,30009.0
Jackson High School,717 South Harkness Street,Jackson,GA,30234.0
Johns Creek High School,5575 State Bridge Road,Johns Creek,GA,30022.0
Jonesboro High School,7728 Mt. Zion Blvd.,Jonesboro,GA,30236.0
Jordan Vocational High School,3200 Howard Avenue,Columbus,GA,31904.0
Kell High School,,Marietta,GA,
Kendrick High School,6015 Georgetown Dr,Columbus,GA,31907.0
Kennesaw Mountain High School,1898 Kennesaw-Due West Road,Kennesaw,GA,30152.0
KIPP Atlanta Collegiate,98 Anderson Drive,Atlanta,GA,30314.0
LaFayette High School,5178 Round Pond Road,LaFayette,GA,30728.0
LaGrange High School,516 North Greenwood Street,LaGrange,GA,30240.0
Lake Oconee Academy,1021 Titan Circle,Greensboro,GA,30642.0
Lakeside High School,533 Blue Ridge Drive,Evans,GA,30809.0
Lakeside High School,3801 Briarcliff Rd,Atlanta,GA,30345.0
Lakeview Academy,796 Lakeview Drive,Gainesville,GA,30501.0
Lamar County High School,1 Trojan Way,Barnesville,GA,30204.0
Lambert High School,805 Nichols Road,Suwanee,GA,30024.0
Langston Hughes,7510 Hall Road,Fairburn,GA,30213.0
Lassiter High School,2601 Shallowford Road,Marietta,GA,30066.0
Lovejoy High School,1587 McDonough Road,Hampton,GA,30228.0
Lumpkin County High School,2001 Indian Drive,Dahlonega,GA,30533.0
Manchester High School,405 N 5th Ave,Manchester,GA,31816.0
Marietta High School,1171 Whitlock Ave. SW,Marietta,GA,30064.0
Marion County High School,1 Eagle Drive,Buena Vista,GA,31803.0
Martha Ellen Stilwell School of the Arts,2850 Mt. Zion Pkwy,Jonesboro,GA,30236.0
Mary Persons High School ,300 Montpelier Ave,Forsyth,GA,31029.0
McClure Health Science High School,3921 Club Dr,Duluth,GA,30096.0
McEachern High School,2400 New Macland Rd,Powder Springs,GA,30127.0
McIntosh High School,201 Walt Banks Rd,Peachtree City,GA,30269.0
Meadowcreek ,4455 Steve Reynolds Blvd,Norcross,GA,30093.0
Midtown High School,929 Charles Allen Dr.,Atlanta,GA,30309.0
Mill Creek High School,4400 Braselton Hwy,Hoschton,GA,30548.0
Milton High School,13025 Birmingham Hwy,Milton,GA,30004.0
Monroe Area High School (Walton Co.),300 Double Springs Church Road,Monroe,GA,30656.0
Monroe Comprehensive High School (Albany),900 Lippit Drive,Albany ,GA,31701.0
Morrow High School ,2299 Old Rex Morrow Road,Morrow,GA,30260.0
Mount Vernon School,510 Mount Vernon Highway,Atlanta,GA,30328.0
Mountain Laurel Academy,"929 Cove Road, Suite D",Jasper,GA,30143.0
Mountain View High School,2351 Sunny Hill Road,Lawrenceville,GA,30043.0
Mundy's Mill High School,9652 Fayetteville Road,Jonesboro,GA,30238.0
New Manchester High School,4925 Highway 92/166,Douglasville,GA,30135.0
Newnan High School,190 LaGrange St,Newnan,GA,30263.0
Newton College & Career Academy,144 Ram Drive,Covington,GA,30014.0
Norcross High School,,,,
North Atlanta High School,4111 Northside Parkway,Atlanta,GA,30327.0
North Clayton,1525 Norman Drive,College Park,GA,30349.0
North Cobb High School,3400 Hwy 293 N,Kennesaw,GA,30144.0
North Forsyth High School,3635 Coal Mountain Drive,Cumming,GA,30028.0
North Gwinnett High School,20 Level Creek Rd.,Suwanee,GA,30024.0
North Paulding High School,300 North Paulding Drive,Dallas,GA,30101.0
North Springs High School,7447 Roswell Road NE,Atlanta,GA,30328.0
Northside High School (Columbus),2002 American Way,Columbus,GA,31909.0
Northside High School (Warner-Robins),926 Green Street,Warner Robins,GA,
Northview High School ,10625 Parsons Rd,Johns Creek,GA,30097.0
Oak Mountain Academy,222 Cross Plains Rd,Carrollton,GA,30116.0
Oglethorpe County High School,749 Athens Road,Lexington,GA,30648.0
Ola High School ,357 North Ola Road,McDonough,GA,30252.0
Ombudsman Alternative Center,1245 Veteran's Memorial Hwy,Mableton,GA,30126.0
Osborne High School,2451 Favor Road,Marietta,GA,
Parkview High School,998 Cole Dr. SW,Lilburn,GA,30047.0
Paul Duke STEM High School,5850 Peachtree Industrial Blvd,Norcross,GA,30071.0
Peachtree Academy,14101 Hwy 278 E,Covington,GA,30014.0
Peachtree Ridge High School,155 Old Peachtree Road,Suwanee,GA,
